year,title,title_normalized,ranking_women,ranking_men,gender_score
2006,little miss sunshine,littlemisssunshine,149,349,-0.4008016032064128
2003,dogville,dogville,328,365,-0.07414829659318634
2015,the hateful eight,thehatefuleight,411,171,0.4809619238476954
2005,pride & prejudice,prideprejudice,68,754,-1.374749498997996
2014,nightcrawler,nightcrawler,380,173,0.41482965931863724
1990,dances with wolves,danceswithwolves,375,264,0.22244488977955912
1986,castle in the sky,castleinthesky,379,310,0.13827655310621245
2010,tangled,tangled,93,599,-1.0140280561122246
1999,the iron giant,theirongiant,418,312,0.2124248496993988
2000,in the mood for love,inthemoodforlove,358,423,-0.13026052104208408
2016,hidden figures,hiddenfigures,180,651,-0.9438877755511021
2008,yip man,yipman,744,214,1.062124248496994
1951,strangers on a train,strangersonatrain,478,371,0.21442885771543085
1948,rope,rope,503,369,0.26853707414829653
2009,moon,moon,350,284,0.13226452905811625
2016,manchester by the sea,manchesterbythesea,427,243,0.3687374749498997
1951,a streetcar named desire,astreetcarnameddesire,348,448,-0.2004008016032064
1986,ferris bueller’s day off,ferrisbuellersdayoff,255,303,-0.09619238476953917
2001,mulholland drive,mulhollanddrive,349,242,0.21442885771543096
2014,captain america: the winter soldier,captainamericathewintersoldier,204,316,-0.22444889779559107
2009,district 9,district9,324,193,0.26252505010020044
1982,blade runner,bladerunner,341,197,0.2885771543086173
1999,magnolia,magnolia,444,194,0.501002004008016
1985,brazil,brazil,554,287,0.5350701402805612
2002,the bourne identity,thebourneidentity,298,256,0.08416833667334678
2002,hero,hero,492,355,0.2745490981963927
2005,cinderella man,cinderellaman,495,286,0.4188376753507014
2000,"crouching tiger, hidden dragon",crouchingtigerhiddendragon,354,313,0.08216432865731471
1999,toy story 2,toystory2,249,266,-0.03406813627254501
2013,star trek: into darkness,startrekintodarkness,191,417,-0.4529058116232465
1968,rosemary’s baby,rosemarysbaby,343,304,0.07815631262525047
1946,notorious,notorious,500,450,0.1002004008016032
1976,network,network,720,273,0.8957915831663327
2016,rogue one,rogueone,283,337,-0.10821643286573146
1997,children of heaven,childrenofheaven,678,519,0.3186372745490982
2007,hot fuzz,hotfuzz,259,331,-0.14428857715430865
1983,a christmas story,achristmasstory,415,377,0.07615230460921851
2004,crash,crash,226,336,-0.22044088176352705
2010,harry potter and the deathly hallows: part 1,harrypotterandthedeathlyhallowspart1,104,696,-1.1863727454909818
1995,dilwale dulhania le jayenge,dilwaledulhanialejayenge,902,437,0.9318637274549098
2013,captain phillips,captainphillips,270,340,-0.14028056112224452
2005,walk the line,walktheline,224,418,-0.3887775551102204
2017,guardians of the galaxy vol. 2,guardiansofthegalaxyvol2,241,446,-0.4108216432865731
2007,elite squad,elitesquad,974,307,1.3366733466933869
1982,e.t. the extra-terrestrial,ettheextraterrestrial,246,370,-0.24849699398797598
2000,dancer in the dark,dancerinthedark,400,447,-0.094188376753507
1966,persona,persona,548,400,0.29659318637274557
2009,the girl with the dragon tattoo,thegirlwiththedragontattoo,269,412,-0.28657314629258523
2008,let the right one in,lettherightonein,384,270,0.22845691382765532
2014,boyhood,boyhood,335,238,0.1943887775551103
2012,barfi!,barfi,877,440,0.875751503006012
2009,mr. nobody,mrnobody,253,434,-0.36272545090180364
1993,true romance,trueromance,557,280,0.5551102204408818
2010,my name is khan,mynameiskhan,535,517,0.03607214428857719
2009,the hangover,thehangover,258,247,0.022044088176352616
1926,the general,thegeneral,891,381,1.0220440881763526
2012,moonrise kingdom,moonrisekingdom,232,386,-0.30861723446893785
2012,les miserables,lesmiserables,168,499,-0.6633266533066132
1979,stalker,stalker,767,347,0.8416833667334669
2017,baby driver,babydriver,389,305,0.16833667334669333
2012,silver linings playbook,silverliningsplaybook,237,251,-0.028056112224448815
